config,step,train_loss,val_loss,train_acc,val_acc
GQA_h8_kv4_l4_lr0.01,1750,1.6400066614151,1.8118903636932373,0.5023193359375,0.4634033143520355
GQA_h8_kv4_l4_lr0.01,2000,1.6059484481811523,1.7909797430038452,0.509106457233429,0.4676757752895355
MHA_h8_l6_lr0.03,1,3.2972240447998047,3.3644967079162598,0.20458984375,0.1968994140625
MHA_h8_l6_lr0.03,250,2.6453042030334473,2.627622127532959,0.24135741591453552,0.2498779296875
MHA_h8_l6_lr0.03,500,2.59443736076355,2.606584072113037,0.2496337890625,0.24929198622703552
MHA_h8_l6_lr0.03,750,2.6378116607666016,2.6544113159179688,0.24296875298023224,0.24677734076976776
MHA_h8_l6_lr0.03,1000,2.6305994987487793,2.6473755836486816,0.24538573622703552,0.24411621689796448
MHA_h8_l6_lr0.03,1250,2.7622408866882324,2.7916340827941895,0.22333984076976776,0.22419433295726776
MHA_h8_l6_lr0.03,1500,2.672661781311035,2.6917176246643066,0.24018554389476776,0.23735351860523224
MHA_h8_l6_lr0.03,1750,2.6304497718811035,2.636282444000244,0.2481689453125,0.24462890625
MHA_h8_l6_lr0.03,2000,3.0027565956115723,3.008678913116455,0.18625488877296448,0.19155272841453552
MHA_h4_l8_lr0.03,1,3.4025940895080566,3.4036529064178467,0.1265869140625,0.12897948920726776
MHA_h4_l8_lr0.03,250,2.8087897300720215,2.822495937347412,0.22145995497703552,0.22104492783546448
MHA_h4_l8_lr0.03,500,2.7142462730407715,2.7494618892669678,0.23542480170726776,0.2303466796875
MHA_h4_l8_lr0.03,750,2.7663986682891846,2.781705141067505,0.22543945908546448,0.22197265923023224
MHA_h4_l8_lr0.03,1000,2.7246289253234863,2.7415928840637207,0.22646483778953552,0.22172851860523224
MHA_h4_l8_lr0.03,1250,2.7491135597229004,2.770343065261841,0.22512206435203552,0.22556152939796448
MHA_h4_l8_lr0.03,1500,2.8020143508911133,2.8151392936706543,0.21806640923023224,0.21711425483226776
MHA_h4_l8_lr0.03,1750,2.785796880722046,2.8063125610351562,0.21787109971046448,0.21657714247703552
MHA_h4_l8_lr0.03,2000,2.758439302444458,2.7728826999664307,0.22561034560203552,0.22653809189796448
GQA_h8_kv2_l4_lr0.03,1,3.488440752029419,3.529696226119995,0.18659667670726776,0.18398436903953552
GQA_h8_kv2_l4_lr0.03,250,2.6479885578155518,2.64855694770813,0.24741211533546448,0.24750976264476776
GQA_h8_kv2_l4_lr0.03,500,2.6164534091949463,2.6163830757141113,0.25141602754592896,0.25239259004592896
GQA_h8_kv2_l4_lr0.03,750,2.6075222492218018,2.62153697013855,0.2489013671875,0.24790039658546448
GQA_h8_kv2_l4_lr0.03,1000,2.6326324939727783,2.6332151889801025,0.2449951171875,0.24064941704273224
GQA_h8_kv2_l4_lr0.03,1250,2.6923906803131104,2.7071375846862793,0.23508301377296448,0.22817382216453552
GQA_h8_kv2_l4_lr0.03,1500,2.636035442352295,2.6596431732177734,0.24367675185203552,0.24064941704273224
GQA_h8_kv2_l4_lr0.03,1750,2.632216215133667,2.635537624359131,0.2445068359375,0.24331054091453552
GQA_h8_kv2_l4_lr0.03,2000,2.6952319145202637,2.7271015644073486,0.22780761122703552,0.22622069716453552
GQA_h16_kv8_l4_lr0.01,1,3.4409027099609375,3.4560763835906982,0.1793212890625,0.17658691108226776
GQA_h16_kv8_l4_lr0.01,250,2.413327693939209,2.4373650550842285,0.2918945252895355,0.2830810546875
GQA_h16_kv8_l4_lr0.01,500,2.1117238998413086,2.1712586879730225,0.3759521543979645,0.3583984375
GQA_h16_kv8_l4_lr0.01,750,1.9361374378204346,2.0083324909210205,0.4262451231479645,0.4058593809604645
GQA_h16_kv8_l4_lr0.01,1000,1.8256123065948486,1.9487968683242798,0.45258790254592896,0.42731934785842896
GQA_h16_kv8_l4_lr0.01,1250,1.7412083148956299,1.8983566761016846,0.47968751192092896,0.4443359375
GQA_h16_kv8_l4_lr0.01,1500,1.6920175552368164,1.8589458465576172,0.4864746034145355,0.45451658964157104
GQA_h16_kv8_l4_lr0.01,1750,1.6568849086761475,1.833205223083496,0.49931639432907104,0.46000975370407104
GQA_h16_kv8_l4_lr0.01,2000,1.6302992105484009,1.8007586002349854,0.5042724609375,0.4650634825229645
